INDEX,NAME,Criminels_28_11_2010,Impots_28_11_2010,Armes_13_02_2011,Secondaire_11_03_2012,Fiscal_11_03_2012,Vacances_11_03_2012,Argent_11_03_2012,Livre_11_03_2012,Epargne_17_06_2012,Etrangere_17_06_2012,Assurance_17_06_2012,Musicale_23_09_2012,Logement_23_09_2012,Tabac_23_09_2012,Epizootie_21_11_2012,Familiale_03_03_2013,Remunerer_03_03_2013,Territoire_03_03_2013,Conseil_09_06_2013,Asile_09_06_2013,Service_22_09_2013,Maladies_22_09_2013,Travail_22_09_2013,Salaires_24_11_2013,Familles_24_11_2013,Routes_24_11_2013,Ferroviaire_09_02_2014,Avorte_09_02_2014,Immigre_09_02_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Solothurn,45.1237954367335,41.115438745786,35.0314880345469,56.2211379,42.8592516,30.9280139,84.9232902,35.2210786,27.7409738,23.4402892,28.7427576,74.1884876490387,52.1383244206774,28.965420100007,66.603446407283,50.445096804,67.938631467,69.461228299,22.4494740742852,83.2863971809425,22.1746116764863,58.2836879432624,54.5098190417438,33.8659522041813,41.775141547587,36.2130673574016,53.4380486385972,34.6927374301676,54.5913947444412,88.22,65.17,22.25,50.27,30.82,38.20,46.16,30.45,23.57,25.21,7.48,55.20,25.92,29.62,48.71,51.73,43.00,40.22,65.29,35.39,21.22,32.18,56.12,65.26,30.65,40.85,63.36,39.47,54.47,59.37
28,Basel-Stadt,60.2027904779579,58.6774273243844,58.9215367378655,62.1553026,36.0433437,39.2696239,88.0101457,44.0959486,23.9990224,21.392132,20.6904129,81.56381608046,36.1559062096603,41.6006591389997,78.0349909990999,65.010246831,67.269698122,78.109653302,20.8374018669687,71.3816959873493,39.0692458648724,67.7249481949012,57.1057159242975,40.8461735183172,34.2559552512296,48.3592344714709,72.2769585106043,24.5697731173146,39.0020016263214,89.05,56.20,37.68,32.26,28.76,45.00,45.09,23.78,21.39,24.64,14.01,62.63,33.94,41.31,51.19,39.49,29.83,50.44,51.56,34.91,36.01,24.28,60.47,74.11,47.04,49.08,54.98,60.48,67.54,53.55
17,Basel-Landschaft,50.3218108977867,46.3101708494836,45.1982773697097,56.7495493,52.9862349,31.1980524,86.915912,34.7558606,41.0527475,22.4640776,19.1952066,75.7074740555941,49.4549402823018,39.4396643674892,72.7044907778669,52.781079442,67.502528049,70.344751054,21.8887792991413,80.8525681627362,27.4215285094705,62.296626984127,57.9608730237645,31.5189703713634,40.6802495491948,40.8701397922732,63.0280805746722,29.7417870764083,50.6437216114316,88.69,61.74,23.62,42.53,28.55,35.63,45.97,26.03,21.68,23.90,8.50,61.32,26.50,29.22,45.77,49.37,40.18,40.44,61.19,33.42,22.93,30.51,60.19,68.41,35.52,42.19,63.56,50.44,56.74,56.76
21,Schaffhausen,46.3470171101425,40.6597323482713,38.9601069902469,57.2870258,46.6367713,31.7827936,81.572697,34.9889938,35.0369994,33.3405868,26.2179882,69.2414801406343,55.8572671888599,28.9297044581733,67.2999678663239,44.294856915,75.873421768,63.18705156,29.1302804401846,80.0087536929642,25.2640676013059,50.0437388627896,54.8255098306664,34.6974380949466,46.7490066837096,33.3343606496749,53.3891737212353,35.0417648942053,58.1305422299753,87.22,65.68,25.52,49.38,34.97,33.25,50.81,31.81,28.53,27.27,10.87,49.06,28.79,31.66,43.33,51.27,45.09,43.96,53.03,32.34,24.54,31.96,53.02,63.55,36.37,41.21,60.47,46.86,53.25,56.98
22,Appenzell A.-Rh.,47.3504273504274,38.5157986278868,37.7742052585179,55.9730075,43.3914284,25.8262597,85.5516417,35.3611445,30.4986551,27.6634724,32.3140496,62.6290313174316,51.0213583192691,31.4748098587522,54.816872070821,40.620307565,66.339903003,65.968859032,24.5249523308567,82.2933333333333,22.3056605727899,44.9012812434363,51.6235813366961,31.2043185401041,43.8827243160513,41.2102917924393,55.7056987092866,39.815625720212,54.3940710919987,82.13,55.01,18.56,51.14,27.93,26.96,47.98,30.00,28.45,20.35,7.98,48.67,21.27,28.17,42.47,49.50,44.69,38.42,51.18,34.65,20.76,29.28,49.51,64.33,32.82,33.96,61.28,42.57,50.93,63.27
24,Appenzell I.-Rh.,38.5668730069405,25.1170631204345,27.6760276760277,46.7996061,40.1304239,17.8362573,82.1510297,38.2924981,27.4523397,28.3571915,30.6703717,57.242206235012,44.9106078665078,23.7514934289128,44.6386020651311,27.092748009,60.968783638,55.360623782,27.0168311085316,86.7766203703704,15.7790927021696,45.9815546772069,50.3177733946965,27.8990963855422,52.1214406939468,46.556266465939,51.4882506527415,50.9443770577023,63.4776655827486,82.14,59.45,12.10,60.76,31.18,18.25,35.30,30.78,26.00,20.84,5.15,44.53,13.02,20.77,40.45,55.65,54.28,32.56,53.84,27.44,12.60,28.14,49.67,55.97,23.50,22.33,65.53,34.18,43.59,65.23
5,St. Gallen,43.9336763865066,39.5147914814184,39.173397898906,51.6628968,42.8164852,28.6288512,84.8233678,34.4360003,28.0692226,28.0549477,34.3532071,67.3395287606078,51.7140210006177,32.2861684776999,59.785630547647,42.846979787,66.360990771,64.342550082,25.8418928347479,83.52733402906,22.3502687129481,50.5727670513208,52.273396424816,31.7590577705652,45.9385202981581,40.4623566663592,57.8343688923894,42.3544680777097,55.9479757143268,85.06,63.39,18.34,52.01,26.75,29.29,44.47,30.36,27.43,23.78,7.34,51.98,22.03,27.99,48.48,53.00,45.90,37.31,56.07,34.73,18.58,31.79,54.51,64.52,30.25,33.17,65.83,39.86,49.83,60.27
0,Graubünden,49.7738273343307,37.7278932725042,34.4090228633642,42.6676216,45.8262842,26.5828796,84.8661819,43.8159174,30.508633,24.3301872,29.7918745,72.966125756219,47.686230248307,30.8209902666102,59.8089835353558,48.791357191,65.557875697,61.476370974,20.8963271739356,80.5449936628644,22.6662097326936,55.8426512664783,60.0434751873321,30.8553743103629,44.1205548398694,45.1406687727246,64.5657856520476,33.6887881049429,50.5891516782326,89.06,62.62,18.20,50.72,28.86,27.35,28.76,21.99,20.35,21.82,6.94,53.87,22.77,23.98,50.85,49.42,41.87,38.06,60.16,28.65,17.85,25.83,54.78,66.62,30.45,34.53,63.57,44.05,57.27,60.27
9,Aargau,46.3867402210629,35.3823725630698,38.5662471595875,50.6028293,43.8265986,29.6611946,84.2093694,32.1007535,31.08525,27.0721686,31.0054107,74.5324550232399,54.8461790793257,29.8382870168659,64.0861134873111,47.159422755,66.818468753,66.884119288,26.2715728212624,83.0559983719432,21.2428612812448,55.8853785540814,55.903619559809,28.8847741798246,43.4912492895968,36.1594438276603,55.436338921613,36.0974050530334,55.2349915618803,87.37,63.92,19.25,51.88,29.88,30.98,43.41,29.44,23.98,23.16,7.73,57.95,22.81,25.39,47.03,52.79,44.31,37.63,67.98,32.59,18.80,32.33,57.93,64.45,30.34,36.32,64.85,37.05,53.25,63.14
11,Thurgau,42.4325386429133,35.9422903516682,34.5303760350329,52.6346098,40.3792353,26.465614,85.0194144,35.6175132,28.8173427,28.6243482,34.1450684,68.9338434984128,53.6550251346715,32.9691239129166,59.9514136861207,41.662039337,70.542432578,68.570007024,25.9832520474832,84.2688154239565,19.2750186326987,50.2546056717036,51.7658819823891,30.6862877237695,48.3495956939563,38.2621225257348,54.1991809338293,40.9482504625756,57.8192684565313,84.75,62.58,17.77,55.55,27.28,26.51,44.26,30.87,27.24,22.69,7.86,50.36,21.06,27.02,45.47,53.96,47.15,38.12,57.01,35.90,19.16,32.98,53.27,62.33,30.26,33.61,64.39,40.21,49.98,59.17
4,Tessin,42.8673464902642,40.6233382890753,36.4422053809906,46.0115214,62.7949763,45.8558785,87.6582278,46.6864124,42.0083841,38.362803,12.3933141,75.8311407355435,51.8107121119903,49.059491314428,66.2466993587326,66.743293231,70.729407436,55.315953099,32.0045082122912,74.9127444438741,27.7309494253794,64.3810198890881,63.6278003030675,49.0261908294999,46.7691821091017,32.3879432949488,71.71651714329,32.4642212265097,68.1716581024571,87.68,83.05,31.99,45.28,35.31,44.37,31.98,36.89,33.32,29.48,6.74,60.86,29.12,27.09,47.99,54.72,59.42,41.76,57.77,37.61,21.94,33.96,57.85,55.75,40.05,53.42,66.08,46.26,50.17,60.52
3,Waadt,60.8863892241685,46.8126324484588,53.696127389046,52.6231059,50.8361533,41.1206668,94.3211976,60.6397747,38.2634986,17.6238024,8.7186738,75.4302411627422,35.8884685691073,38.3268128183068,88.5372457535812,70.839131608,66.522028315,56.447742005,20.4647961754477,70.719800747198,33.780414364349,73.5996952593515,55.2995416181993,36.9614400723979,33.1853476166511,36.4796477678991,74.0007340254546,10.8647293086498,38.8879833832754,91.31,68.65,28.46,34.89,31.89,56.24,31.37,17.33,17.00,25.68,5.68,84.84,37.98,28.34,62.49,45.74,33.41,43.53,45.52,27.86,24.66,22.87,84.96,73.51,46.32,50.28,74.24,54.57,72.83,74.26
2,Wallis,51.5733203741951,31.6263686131387,38.0599591591118,26.1557756,51.1013592,30.3495793,83.8700663,57.68482,32.1821913,20.6799822,15.8842637,69.7382416870925,45.1121347478131,31.7951005283744,71.2508785755362,57.619983978,63.714192826,19.646194543,21.4633662493387,76.7605712186815,25.1896352934037,61.882908618396,43.3006053823066,32.709889852747,42.3914044769745,35.0752111409105,59.9742875508892,29.2125464040773,48.3187957231289,84.22,74.25,18.05,38.06,30.16,33.00,21.71,21.26,21.22,32.18,3.94,57.03,26.78,15.65,46.46,56.96,45.01,36.09,56.60,32.63,19.18,30.75,59.97,62.61,29.21,40.99,64.84,46.74,60.93,63.35
14,Neuenburg,59.2054563062785,56.9481151759633,53.2403416660136,55.3334008,46.0420032,40.7903966,89.2160348,62.9590174,30.4141795,17.6182666,18.8133178,75.9369825899353,48.1714510420763,35.6201966779605,74.4121849831125,69.849478456,71.90574438,67.668303958,19.1906005221932,70.1245525425391,37.5847249246296,67.0116457921336,46.7347070602674,44.4812614259598,37.0589670597804,49.3893400360918,68.7023415885012,16.154356846473,39.2944059069914,93.71,70.01,31.89,30.91,30.44,60.26,39.46,21.78,20.00,28.31,5.90,75.22,42.16,34.03,59.96,51.92,34.70,45.65,50.61,41.13,31.20,29.79,74.28,73.03,44.05,54.00,66.12,56.78,75.14,76.93
20,Genf,59.179882348894,50.6994945107675,61.0446900102073,55.9577031,53.5410434,47.4347898,91.6828275,66.6132721,46.0936097,26.3176309,13.4416934,82.4696533905328,52.72374113423,51.7581615202813,86.7141990291262,79.07578184,67.661714161,57.745531334,26.0356554472577,61.3384034639725,42.1208864773448,77.7772701104786,57.1301009018662,43.0694738870688,33.7798063043811,33.1338446234316,76.6110467478146,13.7684121399688,39.1127765725097,92.79,73.64,33.96,32.24,26.87,57.39,31.72,21.36,23.52,30.01,9.07,82.24,42.24,28.10,61.86,46.70,35.46,45.54,45.24,27.42,34.69,24.42,81.51,59.87,51.91,53.55,61.11,58.96,73.98,56.83
13,Jura,60.0683813023066,58.9183025976601,52.0158625247852,53.8951096,48.5336141,49.3391451,88.1851704,71.1705096,26.7315121,18.2299803,16.3258397,75.400655347036,42.1291533014586,28.0881926312736,72.2056631892697,70.339237466,77.108848556,62.801227549,17.9937572678867,66.1998884689262,41.4331550802139,59.542914061203,34.6581449057414,47.7832512315271,44.5696753389061,37.481838696714,64.915047108448,20.1217148616172,44.0586627660803,90.68,71.55,35.86,25.67,35.11,62.97,40.81,22.76,19.40,42.85,5.91,67.22,38.37,33.76,58.56,60.07,39.67,50.51,50.18,41.40,34.44,29.18,70.28,68.86,44.78,59.53,63.22,57.47,71.22,61.83
